Label	trainingSize	Accuracy_Mean	Accuracy_SD	Accuracy_SE	Precision_Mean	Recall_Mean	F1	Accuracy_Median	PriorClass0_Mean	PriorClass0_SD	PriorClass0_SE	ProbabilityEstimate_0given0_Mean 	ProbabilityEstimate_0given0_SD 	ProbabilityEstimate_0given0_SE 	ProbabilityEstimate_0given1_Mean	ProbabilityEstimate_0given1_SD	ProbabilityEstimate_0given1_SE
0perc_0repeat	0.4	0.5494	0.0516	0.0036	0.6255	0.2276	0.3338	0.5365	0.5278	0.0256	0.0018	0.6426	0.0028	0.0	0.4163	0.0031	0.0
0perc_0repeat	0.4	0.5552	0.0522	0.0037	0.6547	0.2181	0.3272	0.5424	0.5303	0.0241	0.0017	0.646	0.0028	0.0	0.413	0.0029	0.0
0perc_0repeat	0.4	0.559	0.0543	0.0038	0.6584	0.2474	0.3597	0.5509	0.5233	0.0241	0.0017	0.6424	0.0028	0.0	0.4079	0.0029	0.0
0perc_0repeat	0.4	0.5581	0.0549	0.0039	0.6616	0.245	0.3575	0.5411	0.5262	0.0236	0.0017	0.6394	0.0026	0.0	0.414	0.0029	0.0
0perc_0repeat	0.4	0.5567	0.0542	0.0038	0.647	0.2454	0.3559	0.5447	0.5266	0.0257	0.0018	0.639	0.0027	0.0	0.4144	0.0028	0.0
0perc_0repeat	0.4	0.5515	0.051	0.0036	0.6625	0.2285	0.3398	0.5381	0.527	0.0231	0.0016	0.6441	0.003	0.0	0.4129	0.0028	0.0
0perc_0repeat	0.4	0.554	0.0532	0.0038	0.6715	0.24	0.3536	0.5391	0.526	0.0236	0.0017	0.6389	0.0027	0.0	0.4133	0.0027	0.0
0perc_0repeat	0.4	0.5573	0.0527	0.0037	0.6706	0.1996	0.3076	0.5446	0.5278	0.0213	0.0015	0.6414	0.0026	0.0	0.4167	0.0027	0.0
0perc_0repeat	0.4	0.5545	0.0555	0.0039	0.6393	0.2163	0.3233	0.5396	0.5298	0.0265	0.0019	0.6455	0.0027	0.0	0.4139	0.0031	0.0
0perc_0repeat	0.4	0.5526	0.0504	0.0036	0.6638	0.2334	0.3454	0.5456	0.524	0.0239	0.0017	0.6394	0.0026	0.0	0.4136	0.0029	0.0
0perc_0repeat	0.4	0.5538	0.0573	0.004	0.6349	0.2485	0.3572	0.5409	0.5267	0.0255	0.0018	0.6406	0.0028	0.0	0.4125	0.003	0.0
0perc_0repeat	0.4	0.5596	0.0525	0.0037	0.6537	0.2325	0.343	0.5423	0.5271	0.0235	0.0017	0.6412	0.0029	0.0	0.4187	0.0028	0.0
0perc_0repeat	0.4	0.5521	0.0535	0.0038	0.6255	0.2037	0.3073	0.5398	0.5289	0.0267	0.0019	0.6444	0.0028	0.0	0.4187	0.003	0.0
0perc_0repeat	0.4	0.5543	0.0484	0.0034	0.6564	0.2065	0.3142	0.5425	0.5291	0.0242	0.0017	0.6452	0.0026	0.0	0.4155	0.0027	0.0
0perc_0repeat	0.4	0.5454	0.0483	0.0034	0.6378	0.2352	0.3437	0.5328	0.53	0.0257	0.0018	0.646	0.003	0.0	0.4147	0.003	0.0
0perc_0repeat	0.4	0.5589	0.0551	0.0039	0.6212	0.2188	0.3236	0.542	0.5289	0.0243	0.0017	0.6433	0.0026	0.0	0.4188	0.003	0.0
0perc_0repeat	0.4	0.5622	0.0526	0.0037	0.6562	0.2483	0.3603	0.5498	0.5239	0.0243	0.0017	0.6402	0.0026	0.0	0.4126	0.0028	0.0
0perc_0repeat	0.4	0.5476	0.0499	0.0035	0.6426	0.2062	0.3122	0.5379	0.5294	0.0256	0.0018	0.6446	0.0029	0.0	0.4203	0.0029	0.0
0perc_0repeat	0.4	0.5486	0.0492	0.0035	0.614	0.2172	0.3209	0.5355	0.5279	0.0236	0.0017	0.6422	0.0026	0.0	0.4187	0.0029	0.0
0perc_0repeat	0.4	0.5562	0.0541	0.0038	0.6328	0.2344	0.342	0.5412	0.5263	0.0255	0.0018	0.6433	0.0026	0.0	0.4133	0.003	0.0
0perc_0repeat	0.4	0.5535	0.0547	0.0039	0.6156	0.2287	0.3335	0.5416	0.5264	0.0256	0.0018	0.6437	0.0029	0.0	0.4147	0.0032	0.0
0perc_0repeat	0.4	0.5515	0.0587	0.0042	0.6261	0.2506	0.3579	0.5366	0.5259	0.0258	0.0018	0.6389	0.0026	0.0	0.4147	0.0031	0.0
0perc_0repeat	0.4	0.5578	0.054	0.0038	0.6358	0.2143	0.3206	0.5427	0.5287	0.0227	0.0016	0.6433	0.0027	0.0	0.4163	0.0028	0.0
0perc_0repeat	0.4	0.5546	0.0561	0.004	0.6154	0.2544	0.3599	0.5431	0.527	0.0258	0.0018	0.6406	0.0027	0.0	0.4166	0.0031	0.0
0perc_0repeat	0.4	0.5601	0.0572	0.004	0.6537	0.2266	0.3365	0.5425	0.5267	0.0243	0.0017	0.6402	0.0028	0.0	0.4162	0.003	0.0
0perc_0repeat	0.4	0.5544	0.0508	0.0036	0.6553	0.1865	0.2904	0.5414	0.5292	0.0241	0.0017	0.6466	0.0029	0.0	0.4187	0.0029	0.0
0perc_0repeat	0.4	0.5581	0.0505	0.0036	0.6528	0.2173	0.3261	0.541	0.5266	0.0221	0.0016	0.6424	0.0026	0.0	0.4144	0.0027	0.0
0perc_0repeat	0.4	0.5526	0.0513	0.0036	0.6463	0.2447	0.355	0.5408	0.5277	0.0254	0.0018	0.6467	0.0027	0.0	0.4114	0.0029	0.0
0perc_0repeat	0.4	0.5541	0.0523	0.0037	0.6399	0.2108	0.3172	0.5411	0.5301	0.0229	0.0016	0.6499	0.0025	0.0	0.4119	0.0029	0.0
0perc_0repeat	0.4	0.5555	0.0527	0.0037	0.6464	0.2245	0.3333	0.5444	0.5268	0.0251	0.0018	0.6422	0.0029	0.0	0.414	0.0027	0.0
0perc_0repeat	0.4	0.5605	0.0539	0.0038	0.6715	0.2547	0.3693	0.5507	0.5234	0.0235	0.0017	0.6407	0.0026	0.0	0.4076	0.0026	0.0
0perc_0repeat	0.4	0.5588	0.0542	0.0038	0.6587	0.2406	0.3525	0.5431	0.5263	0.0226	0.0016	0.6359	0.0027	0.0	0.4152	0.0028	0.0
0perc_0repeat	0.4	0.5538	0.0559	0.004	0.6418	0.2415	0.351	0.54	0.5265	0.0242	0.0017	0.6436	0.0027	0.0	0.4123	0.0029	0.0
0perc_0repeat	0.4	0.5544	0.0524	0.0037	0.6452	0.2354	0.3449	0.5388	0.526	0.0261	0.0018	0.6426	0.0027	0.0	0.4146	0.0027	0.0
0perc_0repeat	0.4	0.5498	0.0474	0.0034	0.6534	0.2073	0.3148	0.5402	0.5295	0.0247	0.0017	0.6416	0.0027	0.0	0.4187	0.0029	0.0
0perc_0repeat	0.4	0.5541	0.0516	0.0036	0.6471	0.2162	0.3241	0.5416	0.5252	0.0242	0.0017	0.6408	0.0026	0.0	0.4164	0.0029	0.0
0perc_0repeat	0.4	0.5512	0.0521	0.0037	0.6599	0.2329	0.3443	0.5438	0.526	0.0251	0.0018	0.6449	0.003	0.0	0.4104	0.0029	0.0
0perc_0repeat	0.4	0.5552	0.052	0.0037	0.6526	0.2557	0.3674	0.5431	0.5251	0.025	0.0018	0.6414	0.003	0.0	0.4093	0.0027	0.0
0perc_0repeat	0.4	0.552	0.0526	0.0037	0.6589	0.2204	0.3303	0.5401	0.5292	0.0241	0.0017	0.6465	0.0029	0.0	0.4128	0.003	0.0
0perc_0repeat	0.4	0.5637	0.0564	0.004	0.6628	0.2295	0.3409	0.5491	0.5257	0.0244	0.0017	0.6403	0.0027	0.0	0.4136	0.003	0.0
0perc_0repeat	0.4	0.5565	0.0558	0.0039	0.6581	0.2067	0.3146	0.5377	0.5302	0.0254	0.0018	0.6461	0.0029	0.0	0.4181	0.0028	0.0
0perc_0repeat	0.4	0.5553	0.0568	0.004	0.6423	0.2352	0.3443	0.5428	0.5277	0.0253	0.0018	0.6393	0.0028	0.0	0.416	0.003	0.0
0perc_0repeat	0.4	0.5512	0.0518	0.0037	0.668	0.2258	0.3375	0.5398	0.5274	0.0241	0.0017	0.646	0.0031	0.0	0.4126	0.0028	0.0
0perc_0repeat	0.4	0.5603	0.0554	0.0039	0.6449	0.2211	0.3293	0.5464	0.5275	0.0231	0.0016	0.6439	0.0027	0.0	0.4121	0.0029	0.0
0perc_0repeat	0.4	0.5529	0.0534	0.0038	0.6425	0.2345	0.3436	0.5424	0.5267	0.0246	0.0017	0.6399	0.003	0.0	0.4157	0.0029	0.0
0perc_0repeat	0.4	0.5459	0.0477	0.0034	0.6535	0.2046	0.3117	0.5343	0.5282	0.0242	0.0017	0.6446	0.0028	0.0	0.4192	0.0028	0.0
0perc_0repeat	0.4	0.5516	0.0488	0.0035	0.634	0.2422	0.3505	0.5426	0.5248	0.0228	0.0016	0.6381	0.0028	0.0	0.4171	0.0028	0.0
0perc_0repeat	0.4	0.554	0.0555	0.0039	0.6281	0.2252	0.3316	0.5354	0.5281	0.0245	0.0017	0.6417	0.003	0.0	0.4162	0.003	0.0
0perc_0repeat	0.4	0.5488	0.0493	0.0035	0.6492	0.2324	0.3423	0.5369	0.5264	0.0233	0.0016	0.6411	0.0026	0.0	0.4149	0.003	0.0
0perc_0repeat	0.4	0.5521	0.0501	0.0035	0.6467	0.201	0.3066	0.5406	0.5294	0.0246	0.0017	0.6457	0.0028	0.0	0.4181	0.003	0.0
0perc_0repeat	0.4	0.5504	0.0547	0.0039	0.6194	0.2427	0.3487	0.5376	0.528	0.0266	0.0019	0.6429	0.0032	0.0	0.4139	0.0031	0.0
0perc_0repeat	0.4	0.5564	0.0577	0.0041	0.6414	0.2358	0.3449	0.5425	0.527	0.0243	0.0017	0.6402	0.003	0.0	0.4147	0.0031	0.0
0perc_0repeat	0.4	0.5529	0.0543	0.0038	0.646	0.2173	0.3253	0.5374	0.5277	0.0252	0.0018	0.6461	0.0027	0.0	0.4149	0.0029	0.0
0perc_0repeat	0.4	0.5539	0.0484	0.0034	0.6598	0.1895	0.2944	0.5434	0.5275	0.0221	0.0016	0.6434	0.0029	0.0	0.4188	0.0027	0.0
0perc_0repeat	0.4	0.5571	0.0546	0.0039	0.6384	0.2438	0.3528	0.5444	0.5256	0.0246	0.0017	0.6409	0.0029	0.0	0.411	0.003	0.0
0perc_0repeat	0.4	0.5478	0.0465	0.0033	0.652	0.205	0.3119	0.5362	0.5302	0.0233	0.0017	0.6442	0.0028	0.0	0.4162	0.0027	0.0
0perc_0repeat	0.4	0.5557	0.0511	0.0036	0.6428	0.2077	0.3139	0.5433	0.5282	0.0231	0.0016	0.6404	0.0027	0.0	0.4182	0.0027	0.0
0perc_0repeat	0.4	0.5489	0.0535	0.0038	0.6373	0.2354	0.3438	0.5371	0.5268	0.0257	0.0018	0.6425	0.0028	0.0	0.4139	0.003	0.0
0perc_0repeat	0.4	0.5577	0.0551	0.0039	0.6629	0.235	0.347	0.5456	0.5264	0.0247	0.0017	0.6431	0.0027	0.0	0.4112	0.0027	0.0
0perc_0repeat	0.4	0.5468	0.0494	0.0035	0.6433	0.2128	0.3198	0.5341	0.5296	0.0265	0.0019	0.6424	0.0031	0.0	0.4178	0.0029	0.0
0perc_0repeat	0.4	0.5487	0.0499	0.0035	0.6292	0.2091	0.3138	0.5349	0.5307	0.0245	0.0017	0.6464	0.0026	0.0	0.4198	0.0031	0.0
0perc_0repeat	0.4	0.5527	0.0496	0.0035	0.6479	0.2482	0.3589	0.5446	0.5255	0.0256	0.0018	0.6395	0.0027	0.0	0.4125	0.003	0.0
0perc_0repeat	0.4	0.5493	0.0535	0.0038	0.6398	0.2297	0.338	0.5392	0.5297	0.026	0.0018	0.6437	0.0029	0.0	0.4143	0.0031	0.0
0perc_0repeat	0.4	0.5509	0.0544	0.0038	0.6108	0.2705	0.3749	0.5411	0.5256	0.0282	0.002	0.6425	0.0029	0.0	0.413	0.003	0.0
0perc_0repeat	0.4	0.5544	0.0487	0.0034	0.6484	0.2175	0.3257	0.5444	0.5277	0.0238	0.0017	0.6429	0.0026	0.0	0.4201	0.0027	0.0
0perc_0repeat	0.4	0.5524	0.0504	0.0036	0.6336	0.216	0.3222	0.5443	0.5252	0.0256	0.0018	0.6343	0.0027	0.0	0.4221	0.0028	0.0
0perc_0repeat	0.4	0.5542	0.0551	0.0039	0.635	0.2566	0.3655	0.5447	0.5246	0.0262	0.0019	0.6381	0.0029	0.0	0.4149	0.0028	0.0
0perc_0repeat	0.4	0.5519	0.0537	0.0038	0.6337	0.2276	0.3349	0.539	0.5282	0.0272	0.0019	0.6449	0.0028	0.0	0.4137	0.0028	0.0
